max_prob,dil_thr_km,min_rng_km,rel_velo_kms,sat1_days_epoch,sat2_days_epoch,sat1_name,sat2_name,ID,tca_time,start_time,stop_time,extract_date,sat1_norad,sat2_norad,tca_rounded
1.465e-05,0.132,0.537,4.644,5.255,4.531000000000001,STARLINK-1062,STARLINK-2634,44767-48445,2022-05-22 07:14:45.141,2022 May 22 07:14:44.071,2022 May 22 07:14:46.211,2022-05-18 20:47:37,44767,48445,2022-05-22 07:15:00
3.05e-05,0.092,0.37200000000000005,4.635,5.62,5.692,STARLINK-1062,STARLINK-2634,44767-48445,2022-05-21 12:56:01.668,2022 May 21 12:56:00.593,2022 May 21 12:56:02.744,2022-05-17 00:28:33,44767,48445,2022-05-21 12:55:00
1.186e-05,0.151,0.579,6.962999999999999,4.723,4.599,STARLINK-1062,STARLINK-1733,44767-46564,2022-05-21 00:57:11.701,2022 May 21 00:57:10.987,2022 May 21 00:57:12.414,2022-05-17 12:13:07,44767,46564,2022-05-21 00:55:00
1.414e-05,0.139,0.531,6.9639999999999995,6.058,6.183,STARLINK-1100,STARLINK-1453,44943-45670,2022-05-24 15:53:24.118,2022 May 24 15:53:23.404,2022 May 24 15:53:24.832,2022-05-20 12:36:39,44943,45670,2022-05-24 15:55:00
1.465e-05,0.135,0.525,6.5089999999999995,2.766,2.696,STARLINK-1117,STARLINK-2265,44952-48002,2022-05-20 22:42:13.458,2022 May 20 22:42:12.694,2022 May 20 22:42:14.222,2022-05-19 11:42:51,44952,48002,2022-05-20 22:40:00
1.445e-05,0.133,0.541,4.635,4.63,4.36,STARLINK-1267,STARLINK-2642,45384-48437,2022-05-01 12:15:38.939,2022 May 01 12:15:37.867,2022 May 01 12:15:40.012,2022-04-28 01:58:05,45384,48437,2022-05-01 12:15:00
1.526e-05,0.13,0.526,4.635,3.0380000000000003,3.2319999999999998,STARLINK-1267,STARLINK-2642,45384-48437,2022-05-01 10:40:02.755,2022 May 01 10:40:01.682,2022 May 01 10:40:03.828,2022-04-29 17:51:31,45384,48437,2022-05-01 10:40:00
3.994e-05,0.08,0.325,4.646,6.317,6.189,STARLINK-1267,STARLINK-2470,45384-48334,2022-04-29 13:10:00.466,2022 Apr 29 13:09:59.392,2022 Apr 29 13:10:01.539,2022-04-24 20:20:52,45384,48334,2022-04-29 13:10:00
3.857e-05,0.10800000000000001,0.25,13.46,4.3580000000000005,4.172,COSMOS 1975,STARLINK-1289,19573-45391,2022-05-21 20:22:03.143,2022 May 21 20:22:02.772,2022 May 21 20:22:03.514,2022-05-18 20:47:37,19573,45391,2022-05-21 20:20:00
1.129e-05,0.155,0.594,6.962999999999999,3.603,3.728,STARLINK-1336,STARLINK-1733,45557-46564,2022-05-13 11:13:36.872,2022 May 13 11:13:36.159,2022 May 13 11:13:37.585,2022-05-11 03:57:58,45557,46564,2022-05-13 11:15:00
1.639e-05,0.122,0.519,0.529,6.75,6.5520000000000005,STARLINK-1363,STARLINK-2546,45568-48296,2022-05-16 09:09:46.246,2022 May 16 09:09:36.837,2022 May 16 09:09:55.655,2022-05-11 11:58:19,45568,48296,2022-05-16 09:10:00
1.021e-05,0.155,0.657,0.53,6.7170000000000005,6.519,STARLINK-1363,STARLINK-2546,45568-48296,2022-05-16 08:22:00.076,2022 May 16 08:21:50.717,2022 May 16 08:22:09.436,2022-05-11 11:58:20,45568,48296,2022-05-16 08:20:00
1.624e-05,0.128,0.498,6.5089999999999995,5.693,6.15,STARLINK-1363,STARLINK-2492,45568-48149,2022-05-16 09:15:43.554,2022 May 16 09:15:42.789,2022 May 16 09:15:44.318,2022-05-11 19:55:33,45568,48149,2022-05-16 09:15:00
7.094e-05,0.06,0.245,4.143,6.421,6.6160000000000005,STARLINK-1363,STARLINK-1555,45568-46032,2022-05-16 01:15:45.326,2022 May 16 01:15:44.120,2022 May 16 01:15:46.531,2022-05-10 20:40:26,45568,46032,2022-05-16 01:15:00
0.00010209999999999999,0.055999999999999994,0.183,10.222999999999999,5.747000000000001,5.962999999999999,STARLINK-1363,STARLINK-1722,45568-46361,2022-05-13 12:30:20.762,2022 May 13 12:30:20.273,2022 May 13 12:30:21.250,2022-05-08 22:49:37,45568,46361,2022-05-13 12:30:00
1.3699999999999998e-05,0.136,0.56,3.641,3.238,3.365,STARLINK-1404,STARLINK-2506,45686-48315,2022-05-21 00:21:08.833,2022 May 21 00:21:07.469,2022 May 21 00:21:10.198,2022-05-18 20:47:37,45686,48315,2022-05-21 00:20:00
1.087e-05,0.161,0.596,7.805,4.789,4.864,STARLINK-1298,STARLINK-1404,45413-45686,2022-05-20 07:37:02.278,2022 May 20 07:37:01.642,2022 May 20 07:37:02.914,2022-05-16 12:12:39,45413,45686,2022-05-20 07:35:00
1.424e-05,0.136,0.539,5.593,0.179,0.65,STARLINK-1404,STARLINK-2635,45686-48355,2022-05-16 08:42:18.711,2022 May 16 08:42:17.822,2022 May 16 08:42:19.600,2022-05-17 00:28:33,45686,48355,2022-05-16 08:40:00
1.199e-05,0.17,0.51,11.407,6.396,6.574,STARLINK-1404,STARLINK-1485,45686-45774,2022-05-15 22:41:35.282,2022 May 15 22:41:34.846,2022 May 15 22:41:35.718,2022-05-10 20:40:26,45686,45774,2022-05-15 22:40:00
2.718e-05,0.138,0.27699999999999997,14.21,3.792,3.6210000000000004,STARLINK-1506,CUTE,45747-49263,2022-05-19 19:03:19.290,2022 May 19 19:03:18.939,2022 May 19 19:03:19.641,2022-05-17 12:13:07,45747,49263,2022-05-19 19:05:00
