,max_prob,dil_thr_km,min_rng_km,rel_velo_kms,sat1_days_epoch,sat2_days_epoch,sat1_name,sat2_name,ID,tca_time,start_time,stop_time,extract_date,sat1_norad,sat2_norad,tca_rounded
0,1.465e-05,0.132,0.537,4.644,5.255,4.531000000000001,STARLINK-1062,STARLINK-2634,44767-48445,2022-05-22 07:14:45.141,2022 May 22 07:14:44.071,2022 May 22 07:14:46.211,2022-05-18 20:47:37,44767,48445,2022-05-22 07:15:00
1,3.05e-05,0.092,0.37200000000000005,4.635,5.62,5.692,STARLINK-1062,STARLINK-2634,44767-48445,2022-05-21 12:56:01.668,2022 May 21 12:56:00.593,2022 May 21 12:56:02.744,2022-05-17 00:28:33,44767,48445,2022-05-21 12:55:00
2,1.186e-05,0.151,0.579,6.962999999999999,4.723,4.599,STARLINK-1062,STARLINK-1733,44767-46564,2022-05-21 00:57:11.701,2022 May 21 00:57:10.987,2022 May 21 00:57:12.414,2022-05-17 12:13:07,44767,46564,2022-05-21 00:55:00
3,1.414e-05,0.139,0.531,6.9639999999999995,6.058,6.183,STARLINK-1100,STARLINK-1453,44943-45670,2022-05-24 15:53:24.118,2022 May 24 15:53:23.404,2022 May 24 15:53:24.832,2022-05-20 12:36:39,44943,45670,2022-05-24 15:55:00
4,1.465e-05,0.135,0.525,6.5089999999999995,2.766,2.696,STARLINK-1117,STARLINK-2265,44952-48002,2022-05-20 22:42:13.458,2022 May 20 22:42:12.694,2022 May 20 22:42:14.222,2022-05-19 11:42:51,44952,48002,2022-05-20 22:40:00
5,1.445e-05,0.133,0.541,4.635,4.63,4.36,STARLINK-1267,STARLINK-2642,45384-48437,2022-05-01 12:15:38.939,2022 May 01 12:15:37.867,2022 May 01 12:15:40.012,2022-04-28 01:58:05,45384,48437,2022-05-01 12:15:00
6,1.526e-05,0.13,0.526,4.635,3.0380000000000003,3.2319999999999998,STARLINK-1267,STARLINK-2642,45384-48437,2022-05-01 10:40:02.755,2022 May 01 10:40:01.682,2022 May 01 10:40:03.828,2022-04-29 17:51:31,45384,48437,2022-05-01 10:40:00
7,3.994e-05,0.08,0.325,4.646,6.317,6.189,STARLINK-1267,STARLINK-2470,45384-48334,2022-04-29 13:10:00.466,2022 Apr 29 13:09:59.392,2022 Apr 29 13:10:01.539,2022-04-24 20:20:52,45384,48334,2022-04-29 13:10:00
8,3.857e-05,0.10800000000000001,0.25,13.46,4.3580000000000005,4.172,COSMOS 1975,STARLINK-1289,19573-45391,2022-05-21 20:22:03.143,2022 May 21 20:22:02.772,2022 May 21 20:22:03.514,2022-05-18 20:47:37,19573,45391,2022-05-21 20:20:00
9,1.129e-05,0.155,0.594,6.962999999999999,3.603,3.728,STARLINK-1336,STARLINK-1733,45557-46564,2022-05-13 11:13:36.872,2022 May 13 11:13:36.159,2022 May 13 11:13:37.585,2022-05-11 03:57:58,45557,46564,2022-05-13 11:15:00
10,1.3699999999999998e-05,0.136,0.56,3.641,3.238,3.365,STARLINK-1404,STARLINK-2506,45686-48315,2022-05-21 00:21:08.833,2022 May 21 00:21:07.469,2022 May 21 00:21:10.198,2022-05-18 20:47:37,45686,48315,2022-05-21 00:20:00
11,1.087e-05,0.161,0.596,7.805,4.789,4.864,STARLINK-1298,STARLINK-1404,45413-45686,2022-05-20 07:37:02.278,2022 May 20 07:37:01.642,2022 May 20 07:37:02.914,2022-05-16 12:12:39,45413,45686,2022-05-20 07:35:00
12,1.424e-05,0.136,0.539,5.593,0.179,0.65,STARLINK-1404,STARLINK-2635,45686-48355,2022-05-16 08:42:18.711,2022 May 16 08:42:17.822,2022 May 16 08:42:19.600,2022-05-17 00:28:33,45686,48355,2022-05-16 08:40:00
13,1.199e-05,0.17,0.51,11.407,6.396,6.574,STARLINK-1404,STARLINK-1485,45686-45774,2022-05-15 22:41:35.282,2022 May 15 22:41:34.846,2022 May 15 22:41:35.718,2022-05-10 20:40:26,45686,45774,2022-05-15 22:40:00
14,2.718e-05,0.138,0.27699999999999997,14.21,3.792,3.6210000000000004,STARLINK-1506,CUTE,45747-49263,2022-05-19 19:03:19.290,2022 May 19 19:03:18.939,2022 May 19 19:03:19.641,2022-05-17 12:13:07,45747,49263,2022-05-19 19:05:00
15,2.543e-05,0.1,0.408,4.637,5.687,6.289,STARLINK-1506,STARLINK-2192,45747-47769,2022-05-19 13:35:02.003,2022 May 19 13:35:00.929,2022 May 19 13:35:03.078,2022-05-14 20:18:07,45747,47769,2022-05-19 13:35:00
16,0.00018769999999999998,0.052000000000000005,0.107,14.043,5.75,5.899,STARLINK-1559,ELSA-D,46077-47944,2022-05-25 16:13:05.687,2022 May 25 16:13:05.331,2022 May 25 16:13:06.043,2022-05-21 00:39:50,46077,47944,2022-05-25 16:15:00
17,1.576e-05,0.127,0.518,4.646,6.256,6.582000000000001,STARLINK-1559,STARLINK-2252,46077-48595,2022-05-23 22:13:31.251,2022 May 23 22:13:30.180,2022 May 23 22:13:32.321,2022-05-18 20:47:37,46077,48595,2022-05-23 22:15:00
18,0.0008324999999999999,0.018000000000000002,0.069,6.962999999999999,7.053,7.178,STARLINK-1043,STARLINK-1631,44748-46151,2022-05-24 09:12:37.791,2022 May 24 09:12:37.073,2022 May 24 09:12:38.509,2022-05-18 20:47:37,44748,46151,2022-05-24 09:15:00
19,1.604e-05,0.126,0.513,4.645,4.592,4.332,STARLINK-1631,STARLINK-2322,46151-47791,2022-05-24 09:15:03.341,2022 May 24 09:15:02.270,2022 May 24 09:15:04.412,2022-05-21 00:39:50,46151,47791,2022-05-24 09:15:00
20,0.00045,0.027000000000000003,0.087,10.222000000000001,1.119,1.103,STARLINK-1709,STARLINK-2309,46561-47995,2022-05-19 06:05:19.282,2022 May 19 06:05:18.793,2022 May 19 06:05:19.771,2022-05-19 11:42:51,46561,47995,2022-05-19 06:05:00
21,1.686e-05,1.54,3.846,13.03,6.752000000000001,6.8,COSMOS 1461,STARLINK-1683,14064-46578,2022-04-27 07:21:41.136,2022 Apr 27 07:21:40.891,2022 Apr 27 07:21:41.381,2022-04-22 12:36:17,14064,46578,2022-04-27 07:20:00
22,1.154e-05,1.861,4.65,13.03,5.081,5.141,COSMOS 1461,STARLINK-1683,14064-46578,2022-04-27 07:21:40.550,2022 Apr 27 07:21:40.409,2022 Apr 27 07:21:40.691,2022-04-23 12:15:40,14064,46578,2022-04-27 07:20:00
23,2.016e-05,0.12300000000000001,0.419,9.613999999999999,7.819,7.606,STARLINK-1259,STARLINK-1797,45403-46698,2022-05-26 11:54:05.794,2022 May 26 11:54:05.276,2022 May 26 11:54:06.312,2022-05-20 12:36:39,45403,46698,2022-05-26 11:55:00
24,0.00019569999999999999,0.037000000000000005,0.14300000000000002,6.962000000000001,6.979,7.385,STARLINK-1815,STARLINK-2471,46713-48129,2022-05-20 09:12:57.317,2022 May 20 09:12:56.599,2022 May 20 09:12:58.035,2022-05-14 12:12:36,46713,48129,2022-05-20 09:15:00
25,1.078e-05,0.154,0.626,4.645,7.178999999999999,7.317,STARLINK-1848,STARLINK-1927,46740-47181,2022-05-16 13:54:22.662,2022 May 16 13:54:21.594,2022 May 16 13:54:23.729,2022-05-10 20:40:26,46740,47181,2022-05-16 13:55:00
26,1.032e-05,0.19,0.53,12.124,7.166,6.5120000000000005,STARLINK-1927,STARLINK-2234,47181-48580,2022-05-16 10:16:51.155,2022 May 16 10:16:50.745,2022 May 16 10:16:51.565,2022-05-11 03:57:58,47181,48580,2022-05-16 10:15:00
27,1.47e-05,0.135,0.524,6.523,7.518,7.178,STARLINK-2056,STARLINK-2745,47665-48671,2022-05-25 23:21:14.879,2022 May 25 23:21:14.117,2022 May 25 23:21:15.642,2022-05-20 12:36:39,47665,48671,2022-05-25 23:20:00
28,0.000357,0.028999999999999998,0.10099999999999999,8.935,7.221,7.275,STARLINK-2056,STARLINK-2237,47665-48583,2022-05-25 16:14:36.778,2022 May 25 16:14:36.219,2022 May 25 16:14:37.337,2022-05-20 12:36:39,47665,48583,2022-05-25 16:15:00
29,2.856e-05,0.105,0.345,10.238999999999999,7.3229999999999995,7.439,STARLINK-1274,STARLINK-2304,45387-47864,2022-05-24 20:42:53.714,2022 May 24 20:42:53.227,2022 May 24 20:42:54.201,2022-05-18 20:47:37,45387,47864,2022-05-24 20:45:00
30,2.721e-05,0.115,0.33399999999999996,11.724,6.638999999999999,7.327000000000001,STARLINK-2378,STARLINK-2653,47916-48665,2022-05-25 00:37:14.921,2022 May 25 00:37:14.496,2022 May 25 00:37:15.347,2022-05-19 11:42:51,47916,48665,2022-05-25 00:35:00
31,1.639e-05,0.129,0.493,6.962000000000001,5.727,5.851,STARLINK-2378,STARLINK-2286,47916-48033,2022-05-23 10:47:50.215,2022 May 23 10:47:49.500,2022 May 23 10:47:50.930,2022-05-18 20:47:37,47916,48033,2022-05-23 10:50:00
32,0.00041349999999999997,0.025,0.102,4.143,5.289,4.8660000000000005,STARLINK-1162,STARLINK-2305,45058-47989,2022-05-27 10:47:29.679,2022 May 27 10:47:28.473,2022 May 27 10:47:30.886,2022-05-31 01:26:20,45058,47989,2022-05-27 10:45:00
33,1.142e-05,0.161,0.5670000000000001,8.934,5.218999999999999,5.182,STARLINK-1758,STARLINK-2279,46380-47991,2022-05-24 10:21:28.653,2022 May 24 10:21:28.097,2022 May 24 10:21:29.209,2022-05-20 12:36:39,46380,47991,2022-05-24 10:20:00
34,2.71e-05,0.1,0.38299999999999995,6.962999999999999,5.814,6.78,STARLINK-2279,STARLINK-2298,47991-48022,2022-05-24 01:32:41.154,2022 May 24 01:32:40.438,2022 May 24 01:32:41.870,2022-05-19 04:50:57,47991,48022,2022-05-24 01:35:00
35,1.084e-05,0.17,0.5660000000000001,9.93,3.841,4.237,STARLINK-2279,STARLINK-2467,47991-48126,2022-05-23 02:10:54.843,2022 May 23 02:10:54.342,2022 May 23 02:10:55.343,2022-05-20 12:36:39,47991,48126,2022-05-23 02:10:00
