Unnamed: 0,NORAD_CAT_ID,OBJECT_NAME,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,TLE_LINE1,TLE_LINE2,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,alltitude
3198057,48481,STARLINK-2706,2022-07-18 23:58:46.828704,15.06400434,0.00014,53.0555,51.1151,71.8381,288.276,3.4199e-05,2.28e-06,0,1 48481U 21040BF  22199.99915311  .00000228  00000-0  34199-4 0  9995,2 48481  53.0555  51.1151 0001400  71.8381 288.2760 15.06400434 67202,6925.347,95.592,548.182,546.243,547.7918615045793
3196807,48481,STARLINK-2706,2022-07-18 20:47:42.103392,15.06401512,0.0001457,53.0554,51.7109,70.7944,289.3203,5.108e-05,4.79e-06,0,1 48481U 21040BF  22199.86645953  .00000479  00000-0  51080-4 0  9999,2 48481  53.0554  51.7109 0001457  70.7944 289.3203 15.06401512 65902,6925.344,95.592,548.218,546.2,547.7532702493551
3192422,48481,STARLINK-2706,2022-07-18 08:03:22.959360,15.0640394,0.0001464,53.0552,54.0939,70.5509,289.5638,0.00012573,1.592e-05,0,1 48481U 21040BF  22199.33568240  .00001592  00000-0  12573-3 0  9994,2 48481  53.0552  54.0939 0001464  70.5509 289.5638 15.06403940 65822,6925.336,95.592,548.215,546.188,547.7466653913998
3192421,48481,STARLINK-2706,2022-07-18 08:03:22.959360,15.0640394,0.0001464,53.0552,54.0939,70.5509,289.5638,0.00012573,1.592e-05,0,1 48481U 21040BF  22199.33568240  .00001592  00000-0  12573-3 0  9994,2 48481  53.0552  54.0939 0001464  70.5509 289.5638 15.06403940 67105,6925.336,95.592,548.215,546.188,547.7466653913998
3189379,48481,STARLINK-2706,2022-07-17 20:54:36.319680,15.06411045,0.0001512,53.0547,56.179,66.9375,293.1773,0.00036838,5.211e-05,0,1 48481U 21040BF  22198.87125370  .00005211  00000-0  36838-3 0  9997,2 48481  53.0547  56.1790 0001512  66.9375 293.1773 15.06411045 65756,6925.315,95.591,548.227,546.133,547.6473574963787
3188175,48481,STARLINK-2706,2022-07-17 17:43:31.576224,15.0641229,0.0001509,53.0548,56.7743,69.8265,290.2887,0.00037198,5.265e-05,0,1 48481U 21040BF  22198.73855991  .00005265  00000-0  37198-3 0  9990,2 48481  53.0548  56.7743 0001509  69.8265 290.2887 15.06412290 67015,6925.311,95.591,548.221,546.131,547.6952648518202
3184476,48481,STARLINK-2706,2022-07-17 08:10:17.339808,15.064063,6.71e-05,53.0545,58.5616,59.7262,300.3793,8.2032e-05,9.41e-06,0,1 48481U 21040BF  22198.34047847  .00000941  00000-0  82032-4 0  9994,2 48481  53.0545  58.5616 0000671  59.7262 300.3793 15.06406300 65679,6925.329,95.592,547.659,546.73,547.8388219169227
3183017,48481,STARLINK-2706,2022-07-17 00:12:35.981856,15.06401322,0.0001486,53.0547,60.051,68.6462,291.4685,-1.5917e-05,-5.19e-06,0,1 48481U 21040BF  22198.00874979 -.00000519  00000-0 -15917-4 0  9992,2 48481  53.0547  60.0510 0001486  68.6462 291.4685 15.06401322 66904,6925.345,95.592,548.239,546.18,547.7176727118109
3181769,48481,STARLINK-2706,2022-07-16 21:01:30.992160,15.06414741,0.0001439,53.0545,60.6466,68.729,291.3852,0.00045324,6.479e-05,0,1 48481U 21040BF  22197.87605315  .00006479  00000-0  45324-3 0  9995,2 48481  53.0545  60.6466 0001439  68.7290 291.3852 15.06414741 65606,6925.303,95.591,548.165,546.172,547.6898319559041
3177108,48481,STARLINK-2706,2022-07-16 08:17:12.409728,15.06407703,0.0001478,53.055,63.0299,66.6883,293.4261,0.00047585,6.815e-05,0,1 48481U 21040BF  22197.34528252  .00006815  00000-0  47585-3 0  9996,2 48481  53.0550  63.0299 0001478  66.6883 293.4261 15.06407703 65529,6925.325,95.592,548.214,546.166,547.6634854470426
3174258,48481,STARLINK-2706,2022-07-15 21:08:26.629440,15.06399605,0.0001444,53.055,65.1148,68.1041,292.0102,0.00042189,6.008e-05,0,1 48481U 21040BF  22196.88085721  .00006008  00000-0  42189-3 0  9992,2 48481  53.0550  65.1148 0001444  68.1041 292.0102 15.06399605 65453,6925.35,95.592,548.215,546.215,547.7178094926527
3169781,48481,STARLINK-2706,2022-07-15 09:59:39.290208,15.06396333,0.0001673,53.0553,67.1999,68.0439,292.0728,-4.8515e-05,-1.004e-05,0,1 48481U 21040BF  22196.41642697 -.00001004  00000-0 -48515-4 0  9995,2 48481  53.0553  67.1999 0001673  68.0439 292.0728 15.06396333 65387,6925.36,95.592,548.383,546.066,547.6690729287781
3169780,48481,STARLINK-2706,2022-07-15 09:59:39.290208,15.06396333,0.0001673,53.0553,67.1999,68.0439,292.0728,-4.8515e-05,-1.004e-05,0,1 48481U 21040BF  22196.41642697 -.00001004  00000-0 -48515-4 0  9995,2 48481  53.0553  67.1999 0001673  68.0439 292.0728 15.06396333 66669,6925.36,95.592,548.383,546.066,547.6690729287781
3167756,48481,STARLINK-2706,2022-07-15 00:26:25.132416,15.06385237,0.0001501,53.0552,68.9869,65.6823,294.4322,-0.00023039,-3.71e-05,0,1 48481U 21040BF  22196.01834644 -.00003710  00000-0 -23039-3 0  9995,2 48481  53.0552  68.9869 0001501  65.6823 294.4322 15.06385237 66604,6925.394,95.593,548.298,546.219,547.7072334562703
3166134,48481,STARLINK-2706,2022-07-14 19:39:47.803392,15.06384774,0.0001453,53.0551,69.8809,67.7079,292.4064,-0.00026809,-4.271e-05,0,1 48481U 21040BF  22195.81930328 -.00004271  00000-0 -26809-3 0  9999,2 48481  53.0551  69.8809 0001453  67.7079 292.4064 15.06384774 65299,6925.395,95.593,548.266,546.254,547.7601107733253
3162287,48481,STARLINK-2706,2022-07-14 08:31:00.588288,15.06397838,0.0001444,53.055,71.9649,65.6967,294.4173,-0.0002271,-3.662e-05,0,1 48481U 21040BF  22195.35486792 -.00003662  00000-0 -22710-3 0  9999,2 48481  53.0550  71.9649 0001444  65.6967 294.4173 15.06397838 65228,6925.355,95.592,548.22,546.22,547.6885843326186
3158693,48481,STARLINK-2706,2022-07-13 19:46:41.789856,15.06398743,0.0001633,53.0549,74.3474,35.0121,325.0975,-0.00033921,-5.33e-05,0,1 48481U 21040BF  22194.82409479 -.00005330  00000-0 -33921-3 0  9997,2 48481  53.0549  74.3474 0001633  35.0121 325.0975 15.06398743 66422,6925.352,95.592,548.348,546.087,547.1729519767912
3158694,48481,STARLINK-2706,2022-07-13 19:46:41.789856,15.06398743,0.0001633,53.0549,74.3474,35.0121,325.0975,-0.00033921,-5.33e-05,0,1 48481U 21040BF  22194.82409479 -.00005330  00000-0 -33921-3 0  9997,2 48481  53.0549  74.3474 0001633  35.0121 325.0975 15.06398743 65140,6925.352,95.592,548.348,546.087,547.1729519767912
3152784,48481,STARLINK-2706,2022-07-13 00:40:13.580544,15.06429173,0.0001738,53.0551,77.9212,69.1237,290.9938,0.00063759,9.235e-05,0,1 48481U 21040BF  22194.02793496  .00009235  00000-0  63759-3 0  9992,2 48481  53.0551  77.9212 0001738  69.1237 290.9938 15.06429173 65022,6925.259,95.59,548.328,545.921,547.5748889110487
3151050,48481,STARLINK-2706,2022-07-12 19:53:36.789792,15.06418718,0.0001767,53.0548,78.815,68.6365,291.4812,0.00051256,7.365e-05,0,1 48481U 21040BF  22193.82889803  .00007365  00000-0  51256-3 0  9998,2 48481  53.0548  78.8150 0001767  68.6365 291.4812 15.06418718 64992,6925.291,95.591,548.38,545.932,547.5916510124864
3151049,48481,STARLINK-2706,2022-07-12 19:53:36.789792,15.06418718,0.0001767,53.0548,78.815,68.6365,291.4812,0.00051256,7.365e-05,0,1 48481U 21040BF  22193.82889803  .00007365  00000-0  51256-3 0  9998,2 48481  53.0548  78.8150 0001767  68.6365 291.4812 15.06418718 66275,6925.291,95.591,548.38,545.932,547.5916510124864
